N, FPS_CPU (naive), FPS_GPU (naive), FPS_GPU (naive improved), FPS_GPU (grid), FPS_CPU (grid)
100, 375, 3600, 3600, 3700, 650
200, 103, 3400, 3600, 3600, 450
300, 54, 3300, 3400, 3500, 210
500, 18, 3200, 3300, 3300, 150
1000, 4.7, 3000, 2900, 3300, 60
2000, 1.1, 2400, 2400, 3100, 35
3000, 0.8, 2000, 2200, 2900, 12
5000, 0, 1600, 1800, 1000, 8
10000, 0, 1050, 1200, 1100, 2
20000, 0, 620, 650, 750, 0.5
30000, 0, 390, 420, 300, 0
50000, 0, 135, 155, 220, 0
100000, 0, 44, 50, 70, 0
200000, 0, 13, 14, 40, 0
300000, 0, 6, 6.6, 19, 0
500000, 0, 2.3, 2.4, 6, 0
1000000, 0, 0.6, 0.6, 1.7, 0
